cloud_par,local_protocol_byte_hex,local_protocol_byte_dec,label,type,min,max,options
par1,0x00,0,Unit ON OFF,enum,,,0=OFF; 1=ON
par2,0x01,1,Software Version No.,number,0,1000,
par3,0x02,2,Database Version,number,0,100,
par4,0x03,3,Working Mode,enum,,,0=Standby; 1=Heating; 2=Cooling; 3=Sanitary Hot Water; 4=Auto
par5,0x04,4,Language,enum,,,0=English; 1=Slovenščina; 2=Deutsch; 3=Polski; 4=Italiano; 5=Русский; 6=Українська; 7=Polski; 8=English; 9=English; 10=English; 11=English; 12=English; 13=English; 14=English; 15=中文
par6,0x05,5,Sanitary Hot Water,enum,,,0=OFF; 1=ON
par7,0x06,6,Heating,enum,,,0=OFF; 1=ON
par8,0x07,7,Cooling,enum,,,0=OFF; 1=ON
par9,0x08,8,Cooling and Heating Switch,enum,,,0=Invalid; 1=Ambient Temp.; 2=External Signal Control; 3=External Signal Control+Ambient Temp.
par10,0x09,9,Basic Operation Modes,enum,,,0=OFF; 1=ON
par11,0x0A,10,Ambient Temp. To Start Heating,number,-10,25,
par12,0x0B,11,Ambient Temp. To Start Cooling,number,8,53,
par13,0x0C,12,Max Allowed Duration For Min Compressor Speed,number,5,60,
par19,0x12,18,Heating/Cooling ON/OFF Timer,enum,,,0=OFF; 1=ON
par20,0x13,19,Heating/Cooling Stops Based on Water ∆T,number,1,3,
par21,0x14,20,Heating/Cooling Restarts Based on Water ∆T,number,1,10,
par22,0x15,21,∆T Compressor Speed-reduction,number,1,10,
par23,0x16,22,Set temp. for Cooling,number,0,100,
par24,0x17,23,Heating Curve,enum,,,0=OFF; 1=ON
par25,0x18,24,Ambient Temp. 1,number,-25,35,
par26,0x19,25,Ambient Temp. 2,number,-25,35,
par27,0x1A,26,Ambient Temp. 3,number,-25,35,
par28,0x1B,27,Ambient Temp. 4,number,-25,35,
par29,0x1C,28,Ambient Temp. 5,number,-25,35,
par30,0x1D,29,Water Temp. A /Ambient Temp. 1,number,20,60,
